media	curso	renda
43.12	ARQUITETURA E URBANISMO	De 6 a 10 salários mínimos
41.63	ARQUITETURA E URBANISMO	De 3 a 4,5 salários mínimos
44.16	ARQUITETURA E URBANISMO	De 10 a 30 salários mínimos
42.01	ARQUITETURA E URBANISMO	De 4,5 a 6 salários mínimos
41.47	ARQUITETURA E URBANISMO	De 1,5 a 3 salários mínimos
44.66	ARQUITETURA E URBANISMO	Acima de 30 salários mínimos
40.39	ARQUITETURA E URBANISMO	Até 1,5 salário mínimo
42.29	ARQUITETURA E URBANISMO	Não Informado
39.08	TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS	De 6 a 10 salários mínimos
32.06	TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS	Até 1,5 salário mínimo
34.57	TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS	De 1,5 a 3 salários mínimos
36.25	TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS	De 3 a 4,5 salários mínimos
37.79	TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS	De 4,5 a 6 salários mínimos
27.55	TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS	Não Informado
41.89	TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS	De 10 a 30 salários mínimos
41.17	TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS	Acima de 30 salários mínimos
44.9	TECNOLOGIA EM AUTOMAÇÃO INDUSTRIAL	De 6 a 10 salários mínimos
47.31	TECNOLOGIA EM AUTOMAÇÃO INDUSTRIAL	De 10 a 30 salários mínimos
41.24	TECNOLOGIA EM AUTOMAÇÃO INDUSTRIAL	Não Informado
42.43	TECNOLOGIA EM AUTOMAÇÃO INDUSTRIAL	De 3 a 4,5 salários mínimos
45.5	TECNOLOGIA EM AUTOMAÇÃO INDUSTRIAL	De 4,5 a 6 salários mínimos
49.22	TECNOLOGIA EM AUTOMAÇÃO INDUSTRIAL	Acima de 30 salários mínimos
40.79	TECNOLOGIA EM AUTOMAÇÃO INDUSTRIAL	De 1,5 a 3 salários mínimos
40.27	TECNOLOGIA EM AUTOMAÇÃO INDUSTRIAL	Até 1,5 salário mínimo
27.3	TECNOLOGIA EM GESTÃO DA PRODUÇÃO INDUSTRIAL	Não Informado	
46.13	TECNOLOGIA EM GESTÃO DA PRODUÇÃO INDUSTRIAL	De 6 a 10 salários mínimos
42.09	TECNOLOGIA EM GESTÃO DA PRODUÇÃO INDUSTRIAL	De 1,5 a 3 salários mínimos
44.49	TECNOLOGIA EM GESTÃO DA PRODUÇÃO INDUSTRIAL	De 10 a 30 salários mínimos
42.15	TECNOLOGIA EM GESTÃO DA PRODUÇÃO INDUSTRIAL	Até 1,5 salário mínimo
43.45	TECNOLOGIA EM GESTÃO DA PRODUÇÃO INDUSTRIAL	De 4,5 a 6 salários mínimos
42.11	TECNOLOGIA EM GESTÃO DA PRODUÇÃO INDUSTRIAL	De 3 a 4,5 salários mínimos
39.37	TECNOLOGIA EM GESTÃO DA PRODUÇÃO INDUSTRIAL	Acima de 30 salários mínimos
36.16	TECNOLOGIA EM REDES DE COMPUTADORES	Não Informado
39.72	TECNOLOGIA EM REDES DE COMPUTADORES	De 4,5 a 6 salários mínimos
40.71	TECNOLOGIA EM REDES DE COMPUTADORES	De 6 a 10 salários mínimos
36	TECNOLOGIA EM REDES DE COMPUTADORES	Até 1,5 salário mínimo
38.4	TECNOLOGIA EM REDES DE COMPUTADORES	De 3 a 4,5 salários mínimos
37.01	TECNOLOGIA EM REDES DE COMPUTADORES	De 1,5 a 3 salários mínimos
41.75	TECNOLOGIA EM REDES DE COMPUTADORES	De 10 a 30 salários mínimos
45.66	TECNOLOGIA EM REDES DE COMPUTADORES	Acima de 30 salários mínimos
40.11	MATEMÁTICA(BACHARELADO)	De 6 a 10 salários mínimos
39.02	MATEMÁTICA(BACHARELADO)	De 1,5 a 3 salários mínimos
41.29	MATEMÁTICA(BACHARELADO)	De 10 a 30 salários mínimos
44.85	MATEMÁTICA(BACHARELADO)	Não Informado
49.06	MATEMÁTICA(BACHARELADO)	Acima de 30 salários mínimos
37.49	MATEMÁTICA(BACHARELADO)	De 4,5 a 6 salários mínimos
36.7	MATEMÁTICA(BACHARELADO)	Até 1,5 salário mínimo
43.98	MATEMÁTICA(BACHARELADO)	De 3 a 4,5 salários mínimos
26.69	MATEMÁTICA(LICENCIATURA)	Até 1,5 salário mínimo
29.06	MATEMÁTICA(LICENCIATURA)	De 1,5 a 3 salários mínimos
32.58	MATEMÁTICA(LICENCIATURA)	De 6 a 10 salários mínimos
36.66	MATEMÁTICA(LICENCIATURA)	De 10 a 30 salários mínimos
30.03	MATEMÁTICA(LICENCIATURA)	De 3 a 4,5 salários mínimos
35.93	MATEMÁTICA(LICENCIATURA)	Acima de 30 salários mínimos
25.7	MATEMÁTICA(LICENCIATURA)	Não Informado
31.09	MATEMÁTICA(LICENCIATURA)	De 4,5 a 6 salários mínimos
40.85	LETRAS - PORTUGUÊS(BACHARELADO)	De 1,5 a 3 salários mínimos
46.63	LETRAS - PORTUGUÊS(BACHARELADO)	De 10 a 30 salários mínimos
43.19	LETRAS - PORTUGUÊS(BACHARELADO)	De 4,5 a 6 salários mínimos
